"Rank","Player","Team","Positions","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"226","Tyler Bertuzzi","DET","LW","164","242","202.8","29.9","219","-7"
"227","Cory Schneider","NJ","G","130","391","226.5","98.3","",""
"228","Mikael Backlund","CGY","C,F","182","264","224.2","27.2","",""
"229","Gustav Nyquist","CBJ","LW,RW,F","141","281","206.8","50.0","",""
"230","Carter Verhaeghe","TB","NA","137","385","229.0","93.5","",""
"231","Jesper Bratt","NJ","RW","150","255","208.5","38.0","",""
"232","Cody Glass","FA","C","188","272","228.2","32.0","",""
"233","Kevin Labanc","SJ","LW,RW","154","253","211.5","36.3","",""
"234","Jordan Eberle","NYI","RW,F","192","276","229.6","28.2","173","-61"
"235","P.K. Subban","NJ","D","104","288","185.7","76.5","",""
"236","Erik Haula","FLA","C,LW,F","145","303","215.5","56.7","",""
"237","Tyler Toffoli","VAN","C,RW,F","161","240","188.0","36.8","",""
"238","Dmytro Timashov","DET","RW","155","268","217.0","40.6","",""
"239","Ondrej Kase","BOS","RW","157","261","217.0","38.1","",""
"240","Mikko Koskinen","EDM","G","151","249","190.0","42.4","165","-75"
"241","Mackenzie Blackwood","FA","G","183","267","218.8","32.0","171","-70"
"242","Alexandar Georgiev","NYR","G","177","260","219.0","36.4","",""
"243","Roope Hintz","DAL","LW","191","275","219.0","33.2","",""
"244","Zach Hyman","TOR","C,F","179","298","237.2","44.0","179","-65"
"245","Carter Hutton","BUF","G","140","246","198.7","44.0","",""
"246","Jared Spurgeon","MIN","D","194","279","224.5","32.5","153","-93"
"247","Joe Thornton","SJ","C,F","158","291","225.5","47.4","",""
"248","Anthony Cirelli","TB","C","159","274","225.8","41.7","182","-66"
"249","Jakob Silfverberg","ANA","RW,F","165","265","225.8","37.4","",""
"250","Nate Schmidt","VGK","D","168","248","202.7","33.5","175","-75"
"251","Kasperi Kapanen","TOR","RW,F","173","279","227.5","41.5","",""
"252","Phillip Danault","MTL","C,F","183","266","228.3","30.6","",""
"253","Jaccob Slavin","CAR","D","164","243","204.3","32.3","127","-126"
"254","Anthony Beauvillier","NYI","LW,F","171","251","208.3","32.9","",""
"255","Jonathan Quick","LA","G","196","282","232.0","31.2","199","-56"
"256","Mike Smith","EDM","G","131","196","163.5","32.5","",""
"257","Shayne Gostisbehere","PHI","D","155","322","218.0","74.1","",""
"258","Kevin Shattenkirk","TB","D","201","289","233.8","35.8","195","-63"
"259","Manuel Wiederer","FA","C","166","294","234.5","45.7","",""
"260","Alex Chiasson","EDM","RW,F","167","297","236.0","46.4","",""
"261","Nick Ritchie","BOS","LW,F","172","279","236.0","39.5","",""
"262","Richard Panik","WSH","LW,F","174","280","237.8","39.3","",""
"263","Jake Allen","STL","G","181","254","217.0","29.8","",""
"264","Brandon Saad","CHI","LW,RW,F","184","268","219.0","35.7","227","-37"
"265","Jimmy Howard","DET","G","146","316","243.5","67.9","",""
"266","Jesse Puljujarvi","FA","RW,F","175","257","220.0","34.0","",""
"267","Travis Zajac","NJ","C,F","171","305","241.5","47.6","",""
"268","Erik Gustafsson","CGY","D","147","302","223.0","63.3","",""
"269","Mattias Ekholm","NSH","D","215","281","243.3","24.6","192","-77"
"270","Filip Hronek","DET","D","209","295","244.3","31.4","181","-89"
"271","Ryan Poehling","MTL","LW","176","300","244.8","44.7","",""
"272","Yanni Gourde","TB","LW,F","178","301","246.5","44.4","",""
"273","Joel Kiviranta","DAL","LW","196","283","228.7","38.7","",""
"274","Samuel Girard","COL","D","197","288","246.8","40.4","221","-53"
"275","Nicholas Robertson","TOR","LW","199","287","231.3","39.5","226","-49"
"276","Nick Shore","WPG","C,F","159","238","198.5","39.5","",""
"277","Jean-Gabriel Pageau","NYI","C,F","192","277","233.7","34.7","176","-101"
"278","Josh Morrissey","WPG","D","221","272","250.8","19.8","",""
"279","Micheal Ferland","VAN","LW, RW","187","306","254.0","43.2","",""
"280","Tyler Johnson","TB","LW,RW","190","311","255.8","43.9","",""
"281","James Reimer","CAR","G","222","257","237.7","14.5","",""
"282","Quinton Byfield","LA","C","204","291","239.7","37.2","197","-85"
"283","Tim Stutzle","OTT","C,LW","205","292","239.7","37.7","222","-61"
"284","Colin Campbell","FA","RW","191","318","260.8","45.6","",""
"285","Craig Anderson","OTT","G","181","285","243.0","44.8","",""
"286","Devon Toews","NYI","D","213","298","258.3","36.9","",""
"287","Alexander Nylander","CHI","LW,F","175","258","216.5","41.5","",""
"288","Blake Coleman","TB","LW,RW","193","357","272.8","58.3","178","-110"
"289","Duncan Keith","CHI","D","210","290","245.3","33.3","160","-129"
"290","Linus Ullmark","BUF","G","227","266","248.0","16.1","211","-79"
"291","Nick Schmaltz","ARI","C,F","213","300","249.3","36.9","",""
"292","Martin Necas","CAR","C","231","277","249.3","19.9","",""
"293","Boone Jenner","CBJ","C,LW,F","195","280","249.7","38.7","",""
"294","Mikko Koivu","MIN","C,F","198","310","265.8","41.7","",""
"295","Alec Martinez","VGK","D","220","237","228.5","8.5","",""
"296","Erik Foley","FA","LW","200","288","253.0","38.1","",""
"297","Justin Schultz","PIT","D","218","295","253.7","31.7","",""
"298","Craig Smith","NSH","RW,F","220","240","230.0","10.0","208","-90"
"299","Oscar Klefbom","EDM","D","193","395","285.7","83.3","",""
"300","Cory Conacher","FA","LW,F","211","294","257.3","34.6","",""
"301","Joel Armia","MTL","RW,F","219","256","237.5","18.5","",""
"302","Vince Dunn","STL","D","235","282","262.0","19.8","",""
"303","Jakob Chychrun","ARI","D","238","247","242.5","4.5","225","-78"
"304","Alex Iafallo","LA","C","228","262","245.0","17.0","214","-90"
"305","Derek Stepan","ARI","C,F","213","297","264.3","36.7","",""
"306","Alexander Killorn","TB","C,LW,F","217","285","251.0","34.0","223","-83"
"307","Matt Grzelcyk","BOS","D","244","258","251.0","7.0","",""
"308","Dominik Kahun","BUF","C","209","296","252.5","43.5","",""
"309","Andrew Mangiapane","CGY","LW","212","299","255.5","43.5","",""
"310","Antti Raanta","ARI","G","218","315","266.5","48.5","",""
"311","Trevor Zegras","ANA","C","250","270","260.0","10.0","",""
"312","Justin Faulk","STL","D","224","307","265.5","41.5","",""
"313","Thomas Greiss","NYI","G","254","346","290.3","40.0","216","-97"
"314","Radko Gudas","WSH","D","226","326","276.0","50.0","",""
"315","Ryan Graves","COL","D","241","289","265.0","24.0","102","-213"
"316","Anthony Duclair","OTT","LW,RW,F","232","358","295.0","63.0","212","-104"
"317","Malcolm Subban","CHI","G","235","235","235.0","0.0","213","-104"
"318","Joel Farabee","PHI","LW","236","347","291.5","55.5","",""
"319","Ville Heinola","FA","D","237","336","286.5","49.5","",""
"320","Marcus Johansson","BUF","LW,RW,F","264","276","270.0","6.0","",""
"321","Alex Turcotte","LA","C","244","244","244.0","0.0","",""
"322","Calvin Petersen","LA","G","249","296","272.5","23.5","",""
"323","Grigori Denisenko","FA","LW","245","245","245.0","0.0","",""
"324","Kaapo Kahkonen","MIN","G","246","246","246.0","0.0","",""
"325","Marco Rossi","MIN","C","247","370","308.5","61.5","",""
"326","Drake Batherson","FA","C","258","290","274.0","16.0","",""
"327","Rasmus Sandin","TOR","D","248","314","281.0","33.0","",""
"328","Alexandre Texier","CBJ","C,LW","270","282","276.0","6.0","",""
"329","Tanner Pearson","VAN","LW,F","252","252","252.0","0.0","185","-144"
"330","Mike Green","EDM","D","256","324","290.0","34.0","",""
"331","Erik Cernak","TB","D","273","321","292.7","20.5","207","-124"
"332","Brandon Montour","BUF","D","257","257","257.0","0.0","",""
"333","Colin White","OTT","C","259","308","283.5","24.5","",""
"334","Barrett Hayton","ARI","C","259","259","259.0","0.0","",""
"335","Gabriel Vilardi","LA","C","260","260","260.0","0.0","",""
"336","Ryan Donato","MIN","LW","261","304","282.5","21.5","",""
"337","Frank Vatrano","FLA","LW, RW","262","312","287.0","25.0","",""
"338","Colin Miller","BUF","D","265","265","265.0","0.0","",""
"339","Maxime Comtois","FA","LW","267","374","320.5","53.5","",""
"340","Jake Gardiner","CAR","D","268","394","331.0","63.0","",""
"341","Filip Zadina","DET","LW","271","271","271.0","0.0","",""
"342","Jack Roslovic","WPG","C,F","272","313","292.5","20.5","",""
"343","Zack Kassian","EDM","RW,F","273","273","273.0","0.0","",""
"344","Cam Fowler","ANA","D","275","335","305.0","30.0","",""
"345","Adam Henrique","ANA","C,F","275","275","275.0","0.0","142","-203"
"346","Jeff Carter","LA","C,F","278","317","297.5","19.5","",""
"347","Jordan Weal","MTL","C,F","280","320","300.0","20.0","",""
"348","Vitali Kravtsov","NYR","RW","281","325","303.0","22.0","",""
"349","Alexander True","SJ","C","283","323","303.0","20.0","",""
"350","Alex Goligoski","ARI","D","284","284","284.0","0.0","",""
"351","Jesperi Kotkaniemi","MTL","C","286","327","306.5","20.5","",""
"352","Owen Tippett","FLA","RW","286","286","286.0","0.0","",""
"353","Christian Dvorak","ARI","C,LW,F","287","287","287.0","0.0","",""
"354","Chris McCarthy","FA","C","289","289","289.0","0.0","",""
"355","Wayne Simmonds","BUF","RW,F","290","396","343.0","53.0","",""
"356","Alex Stalock","MIN","G","292","292","292.0","0.0","",""
"357","Buddy Robinson","CGY","RW","292","292","292.0","0.0","",""
"358","Ryan McDonagh","TB","D","293","376","334.5","41.5","206","-152"
"359","Kirby Dach","CHI","C","293","342","317.5","24.5","193","-166"
"360","T.J. Brodie","CGY","D","293","293","293.0","0.0","",""
"361","Nick Bjugstad","PIT","C,F","294","294","294.0","0.0","",""
"362","Sam Steel","ANA","C,F","295","295","295.0","0.0","",""
"363","Esa Lindell","DAL","D","298","298","298.0","0.0","167","-196"
"364","Mathieu Perreault","WPG","C,LW,F","299","397","348.0","49.0","",""
"365","Josh Norris","FA","C","299","299","299.0","0.0","",""
