Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%
784,Karl Stollery\stollka01,29,NJD,D,11,125,139,47.3,1.8,101,100,50.2,3.9,7.0,85.9,93.0,60.8,39.2,16:55,14:20,3,6,1.1,23,47.8
785,Mark Stone\stonema01,24,OTT,RW,71,1138,953,54.4,8.4,835,686,54.9,8.6,9.4,91.2,100.6,53.6,46.4,18:34,15:23,96,47,5.8,229,58.5
786,Michael Stone\stonemi01,26,TOT,D,64,865,1125,43.5,-5.3,630,829,43.2,-4.4,8.2,93.9,102.1,42.5,57.5,19:49,16:41,5,26,-12.8,186,43.5
787,Clayton Stoner\stonecl01,31,ANA,D,14,189,180,51.2,4.4,141,126,52.8,7.0,4.7,94.5,99.2,47.4,52.6,17:33,15:17,2,3,1.1,29,55.2
788,Brian Strait\straibr01,29,WPG,D,5,67,90,42.7,-0.1,48,60,44.4,3.0,11.1,89.2,100.3,45.9,54.1,15:56,15:26,0,0,-0.4,10,30.0
789,Anton Stralman\stralan01,30,TBL,D,73,1238,1208,50.6,-1.7,943,935,50.2,-1.1,8.8,91.4,100.2,50.9,49.1,22:54,18:37,26,27,1.6,257,50.6
790,Ben Street\streebe01,29,DET,C,6,54,47,53.5,6.2,42,37,53.2,4.7,3.2,100.0,103.2,38.5,61.5,8:15,8:15,0,2,1.2,11,72.7
791,Mark Streit\streima01,39,TOT,D,68,1116,1019,52.3,2.3,818,731,52.8,2.8,5.8,91.4,97.2,60.6,39.4,18:43,15:54,16,39,3.7,224,50.9
792,Dylan Strome\stromdy01,19,ARI,C,7,82,99,45.3,-1.1,65,82,44.2,-1.3,4.2,90.3,94.5,76.2,23.8,13:41,11:33,3,0,-1.6,16,37.5
793,Ryan Strome\stromry01,23,NYI,RW,69,709,834,45.9,-2.1,512,615,45.4,-3.0,7.8,92.1,99.9,44.7,55.3,14:36,11:58,33,32,-6.3,203,56.2
794,Mark Stuart\stuarma01,32,WPG,D,42,362,452,44.5,-4.3,266,319,45.5,-3.5,6.8,94.5,101.3,48.4,51.6,12:27,10:11,3,23,-2.2,52,46.2
795,P.K. Subban\subbapk01,27,NSH,D,66,1304,1091,54.4,3.6,991,840,54.1,4.1,7.4,90.2,97.7,47.2,52.8,24:24,19:36,30,58,8.4,295,48.5
796,Oskar Sundqvist\sundqos01,22,PIT,C,10,71,89,44.4,-6.7,49,62,44.1,-5.4,5.9,85.7,91.6,48.8,51.2,9:10,8:40,1,2,-1.4,10,90.0
797,Andrej Sustr\sustran01,26,TBL,D,80,1091,1136,49.0,-3.1,834,861,49.2,-1.9,6.7,92.2,98.9,36.1,63.9,17:35,15:28,18,49,-5.0,164,56.7
798,Ryan Suter\suterry01,32,MIN,D,82,1674,1661,50.2,1.3,1275,1243,50.6,1.2,10.4,92.3,102.7,49.8,50.2,26:56,21:42,41,38,13.7,332,49.4
799,Brandon Sutter\suttebr03,27,VAN,C,81,938,1094,46.2,-2.8,682,851,44.5,-3.5,7.1,91.2,98.3,43.8,56.2,18:48,14:20,32,21,-13.4,271,58.7
800,Evgeny Svechnikov\svechev01,20,DET,RW,2,26,20,56.5,14.1,18,12,60.0,19.2,0.0,100.0,100.0,71.4,28.6,13:09,13:08,0,1,0.5,6,66.7
801,Brandon Tanev\tanevbr01,25,WPG,LW,51,309,411,42.9,-7.1,219,293,42.8,-7.1,5.0,93.0,98.0,42.9,57.1,10:41,8:55,19,9,-4.2,82,65.9
802,Chris Tanev\tanevch01,27,VAN,D,53,693,772,47.3,-0.7,492,583,45.8,-1.1,9.2,92.5,101.7,44.7,55.3,20:21,16:60,15,25,-7.1,92,42.4
803,Vladimir Tarasenko\tarasvl01,25,STL,RW,82,1233,1137,52.0,3.2,915,823,52.6,3.6,9.5,90.0,99.5,66.9,33.1,18:28,15:18,29,31,6.0,525,54.5
804,Tomas Tatar\tatarto01,26,DET,LW,82,1079,998,51.9,4.7,811,778,51.0,3.4,9.9,88.8,98.7,54.0,46.0,17:17,14:53,34,38,5.9,321,51.7
805,John Tavares\tavarjo01,26,NYI,C,77,1332,1187,52.9,7.7,965,877,52.4,6.6,10.0,90.1,100.1,63.3,36.7,20:24,16:19,63,81,11.0,470,55.1
806,Matt Tennyson\tennyma01,26,CAR,D,45,502,570,46.8,-6.1,363,432,45.7,-6.6,7.6,88.9,96.5,64.3,35.7,13:17,12:51,11,11,-7.2,82,43.9
807,Teuvo Teravainen\teravte01,22,CAR,LW,81,1095,899,54.9,5.0,822,700,54.0,5.0,7.5,90.7,98.1,58.4,41.6,16:14,13:53,51,67,5.9,298,56.7
808,Chris Terry\terrych01,27,MTL,LW,14,114,96,54.3,-0.8,95,72,56.9,1.1,6.9,88.5,95.4,49.1,50.9,9:53,9:26,5,8,0.5,24,62.5
809,Shea Theodore\theodsh01,21,ANA,D,34,463,459,50.2,0.1,360,358,50.1,-0.2,7.3,89.5,96.8,52.4,47.6,17:19,14:13,4,30,-0.9,126,47.6
