player_name,games_played,goals,assists,pts,plus_minus,penalty_mins,shots_on_goal,game_winning_goals,power_play_goals,power_play_assists,short_handed_goals,short_handed_assists,hits,blocked_shots,cf,ca,c_pct,c_pct_rel,ff,fa,f_pct,f_pct_rel,sh_pct,sv_pct,pdo,off_zone_starts,def_zone_starts,takeaways,giveaways,ev_plus_minus,shot_attempts,shot_through_pct,games_played_z,goals_z,assists_z,pts_z,plus_minus_z,penalty_mins_z,shots_on_goal_z,game_winning_goals_z,power_play_goals_z,power_play_assists_z,short_handed_goals_z,short_handed_assists_z,hits_z,blocked_shots_z,cf_z,ca_z,c_pct_z,c_pct_rel_z,ff_z,fa_z,f_pct_z,f_pct_rel_z,sh_pct_z,sv_pct_z,pdo_z,off_zone_starts_z,def_zone_starts_z,takeaways_z,giveaways_z,ev_plus_minus_z,shot_attempts_z,shot_through_pct_z
Paul Carey,6,0,0,0,-2,0,8,0,0,0,0,0,5,1,53.0,54.0,49.5,-3.8,39.0,36.0,52.0,-0.7,0.0,91.7,91.7,31.8,68.2,5,4,-1.1,15,53.3,-0.2507809441397286,-0.14726189455114586,-0.1662484345069807,-0.1688277499077788,-0.028211625135914315,-0.17392253834327587,-0.18157158920990915,-0.118877622359695,-0.09512782254374486,-0.10349897546707368,-0.06021292570350506,-0.06259954877559057,-0.1685220136772753,-0.15464242542572976,-0.21602180502921192,-0.22376023353443733,0.010183914895518368,-0.07942337306288466,-0.21612144296546212,-0.22513597274410352,0.08433447218940174,0.007859344805913297,-0.27183043078967134,-0.00022930190780159998,-0.17009144462189482,-0.30323599240798477,0.30531153035196085,-0.13442185526084183,-0.15190979885728254,-0.03980090835183811,-0.1857156746741242,0.0031857875793074317
Spencer Abbott,1,0,0,0,0,0,1,0,0,0,0,0,0,0,11.0,7.0,61.1,-6.7,6.0,6.0,50.0,-17.2,0.0,100.0,100.0,100.0,0.0,1,0,0.1,2,50.0,-1.674571444141776,-0.8835713673068751,-0.9974906070418842,-1.0129664994466727,0.03253832128791783,-1.0435352300596552,-1.1889772868819015,-0.71326573415817,-0.5707669352624691,-0.620993852802442,-0.36127755422103036,-0.37559729265354347,-1.1018340931844408,-0.9516329188733085,-1.3868107248600827,-1.448284196668451,2.0838928897366142,-0.9547698592215703,-1.3925653820503747,-1.4413209365119224,0.15834846907788114,-2.6370469096371028,-1.6309825847380282,2.0004859992290136,0.12829570525739897,4.809333362528489,-4.801247480187078,-1.0393302720268716,-1.0961478544895547,-0.007103023553754241,-1.2163060471143854,-0.22375623959083718
Dylan Strome,7,0,1,1,-5,0,6,0,0,0,0,0,3,2,82.0,99.0,45.3,-1.1,65.0,82.0,44.2,-1.3,4.2,90.3,94.5,76.2,23.8,3,0,-1.6,16,37.5,-0.21010121556824154,-0.1262244810438393,-0.13137485340966812,-0.13762656770260004,-0.06742597985294163,-0.1490764614370936,-0.15969596428696076,-0.10189510487973856,-0.08153813360892416,-0.088713407543206,-0.0516110791744329,-0.05365675609336335,-0.1496304123588525,-0.12915374089077838,-0.17621693170578867,-0.17733392115783922,-0.09589796803939217,-0.004470281527817015,-0.1744601336643457,-0.17314876424648937,-0.1214086838131219,-0.007207330314269553,-0.10230387194094313,-0.0484341784845901,-0.09042667293979025,0.3565821147473915,-0.3552092618057106,-0.13184724311370874,-0.15659255064136496,-0.04790687540617519,-0.1580638530276049,-0.16338885947979598
Vladislav Kamenev,2,0,0,0,-1,2,1,0,0,0,0,0,1,1,12.0,17.0,41.4,-9.6,8.0,13.0,38.1,-11.5,0.0,90.9,90.9,57.1,42.9,0,0,-0.7,3,33.3,-0.8202971441405477,-0.44178568365343757,-0.4987453035209421,-0.5064832497233364,-0.034182857381892015,-0.47979164862283885,-0.5944886434409508,-0.356632867079085,-0.28538346763123457,-0.310496926401221,-0.18063877711051518,-0.18779864632677173,-0.5418468454801415,-0.46392727627718927,-0.6923258398742698,-0.7128949924340311,-0.6756807614748408,-0.7164997400329162,-0.6933785478658661,-0.7101015399171093,-0.955109398535184,-0.8548883949005599,-0.8154912923690141,-0.09716317370778152,-0.565640327744661,0.3198181057636034,-0.31440156404793523,-0.5487650285711634,-0.5480739272447773,-0.08078565396263525,-0.6042294851314374,-0.7264152586762656
Hudson Fasching,10,0,1,1,-1,2,6,0,0,0,0,0,17,2,83.0,81.0,50.6,4.8,63.0,68.0,48.1,2.4,2.3,96.3,98.6,55.8,44.2,1,1,-0.8,13,46.2,-0.13687770413956485,-0.08835713673068751,-0.09196239738676767,-0.09633859739182003,-0.006836571476378403,-0.09595832972456778,-0.11178717500087254,-0.071326573415817,-0.05707669352624691,-0.0620993852802442,-0.03612775542210304,-0.03755972926535434,-0.07934472553737577,-0.09040761862354486,-0.12313594768289778,-0.12818270293455744,0.025291972561447718,0.09416579475746419,-0.12270292219690623,-0.12542770630808328,-0.017192697677772147,0.05514608708515407,-0.11299902974408185,0.11080897703735251,-0.006548527331902055,0.05132817524059554,-0.05023654204567425,-0.10393302720268716,-0.10499755891530897,-0.018087984347171005,-0.11299882017477668,-0.050342583572822834
MacKenzie Weegar,3,0,0,0,0,4,3,0,0,0,0,0,4,1,36.0,33.0,52.2,12.1,27.0,29.0,48.2,6.2,4.8,95.7,100.4,81.8,18.2,1,0,0.0,5,60.0,-0.5355390441401381,-0.2945237891022917,-0.3324968690139614,-0.3376554998155576,0.010846107095972609,-0.29187712147723344,-0.38684502404421034,-0.23775524471939,-0.1902556450874897,-0.20699795093414736,-0.12042585140701012,-0.12519909755118114,-0.3430908280959365,-0.3092848508514595,-0.44427819902383486,-0.4632664153291468,0.1773083867157915,0.7151591126585719,-0.44385945856820935,-0.45731123104744154,-0.05151468619159825,0.3898803169140654,-0.19514448780737087,0.321125622798987,0.061220566378792175,1.0134569782769918,-1.0103731910797642,-0.3464434240089572,-0.3653826181631849,-0.008803853033397924,-0.3975882721866177,0.17073879394111688
Clayton Keller,3,0,2,2,-3,0,0,0,0,1,0,0,0,0,20.0,40.0,33.3,-11.0,11.0,34.0,24.4,-19.7,16.7,81.8,98.5,54.5,45.5,1,0,-1.4,0,0.0,-0.5355390441401381,-0.2945237891022917,-0.28058578023115643,-0.3046018161299093,-0.09005792895572924,-0.34784507668655174,-0.4010661314188456,-0.23775524471939,-0.1902556450874897,-0.13926033575226826,-0.12042585140701012,-0.12519909755118114,-0.3672780310614803,-0.31721097295776945,-0.4557931062853982,-0.4580177659090561,-0.9212755117574911,-0.5546229840658484,-0.4593482220845895,-0.4522831699337026,-1.4305595302904315,-1.0145814435392657,0.6688856888356427,-0.7963795646867144,-0.02644225726292132,0.1289757644282349,-0.12530923760587176,-0.3464434240089572,-0.3653826181631849,-0.09891035225011574,-0.41066673360580236,-1.3012064488872588
Brady Austin,5,0,0,0,0,4,8,0,0,0,0,0,6,0,78.0,67.0,53.8,3.6,66.0,55.0,54.5,2.8,5.7,93.0,98.7,62.3,37.7,1,2,0.4,10,80.0,-0.30773256413981054,-0.17671427346137503,-0.19949812140837683,-0.20259329988933455,0.006507664257583565,-0.17512627288634006,-0.21788590705189098,-0.142653146831634,-0.11415338705249382,-0.1241987705604884,-0.07225551084420608,-0.07511945853070869,-0.1985983359678988,-0.1903265837746617,-0.24843094047733869,-0.2626637851732237,0.1621861189360541,0.14875396572092048,-0.2436633584982197,-0.25869918795359936,0.1881159576419144,0.12330649164169037,-0.07787860063507566,0.06243376190048303,-0.010328754969855036,0.22901080960244205,-0.22691079173047599,-0.2078660544053743,-0.200760664763325,0.010164516617112871,-0.2307058864604598,0.39683232493034526
Nicolas Kerdiles,1,0,0,0,1,0,0,0,0,0,0,0,0,2,9.0,16.0,36.0,-8.1,8.0,10.0,44.4,-2.1,40.0,85.7,125.7,37.5,62.5,0,2,0.1,1,0.0,-1.674571444141776,-0.8835713673068751,-0.9974906070418842,-1.0129664994466727,0.13344235733961968,-1.0435352300596552,-1.2031983942565367,-0.71326573415817,-0.5707669352624691,-0.620993852802442,-0.36127755422103036,-0.37559729265354347,-1.1018340931844408,-0.9040761862354486,-1.3911288150831689,-1.4280394060481012,-2.293004864498209,-1.185639331353283,-1.3867570957317321,-1.429253589838949,-0.8150949502860011,-0.18059448691370905,7.08192675956127,-1.4485048312124655,3.6855608119816576,-1.2654002490701157,1.277488464001744,-1.0975300571423268,-1.003803323816625,-0.007103023553754241,-1.2241531239658963,-3.903619346661776
Seth Griffith,24,0,5,5,6,8,21,0,0,1,0,0,30,5,261.0,230.0,53.2,3.6,207.0,186.0,52.7,4.1,6.6,97.2,103.8,59.5,40.5,5,6,-0.1,50,42.0,-0.0372123691394215,-0.036815473637786464,-0.025339893382118627,-0.0318776613251796,0.026581772399922036,-0.029488645783489396,-0.03768979747454987,-0.02971940558992375,-0.023781955635936214,-0.017407541969033533,-0.015053231425876265,-0.015649887193897642,-0.02323425110248775,-0.034697545303277455,-0.03529372695726257,-0.039444303063324256,0.029429314863768135,0.03099040952519177,-0.033701358626116645,-0.037428764009504754,0.02615363585653734,0.03450062987993387,-0.008056355955360176,0.05521496347243229,0.02726136029615325,0.03637108259219138,-0.03592610784803004,-0.03360546381521046,-0.0341297609362819,-0.0019050039436097211,-0.03498526492674446,-0.03385559736342448
