,fantasy_pro,nhl.com,yahoo,dobber_hockey,average_ranking,highest_ranking,lowest_ranking
Brandon Saad,264.0,184.0,239.0,,229.0,184.0,
Brandon Pirri,171.0,287.0,,,229.0,171.0,
Jared Spurgeon,246.0,194.0,251.0,,230.33333333333334,194.0,
Cody Glass,232.0,199.0,266.0,,232.33333333333334,199.0,
Joel Kiviranta,273.0,207.0,226.0,,235.33333333333334,207.0,
Jesse Puljujarvi,266.0,175.0,267.0,,236.0,175.0,
Marcus Foligno,236.0,,,,236.0,236.0,
Jordan Eberle,234.0,223.0,252.0,,236.33333333333334,223.0,
Nicholas Robertson,275.0,208.0,229.0,,237.33333333333334,208.0,
Jonathan Quick,255.0,196.0,262.0,,237.66666666666666,196.0,
Mats Zuccarello,198.0,279.0,,,238.5,198.0,
Milan Lucic,241.0,,,,241.0,241.0,
Samuel Girard,274.0,197.0,253.0,,241.33333333333334,197.0,
Craig Smith,298.0,240.0,189.0,,242.33333333333334,189.0,
Nino Niederreiter,211.0,274.0,,,242.5,211.0,
Kevin Shattenkirk,258.0,242.0,231.0,,243.66666666666666,231.0,
Jake Allen,263.0,216.0,254.0,,244.33333333333334,216.0,
Andreas Johnsson,225.0,268.0,,,246.5,225.0,
Quinton Byfield,282.0,204.0,261.0,,249.0,204.0,
Mattias Ekholm,269.0,215.0,263.0,,249.0,215.0,
Filip Hronek,270.0,234.0,244.0,,249.33333333333334,234.0,
Andreas Athanasiou,190.0,309.0,,,249.5,190.0,
Joel Armia,301.0,219.0,230.0,,250.0,219.0,
Kevin Labanc,233.0,269.0,,,251.0,233.0,
Ryan Graves,315.0,241.0,199.0,,251.66666666666666,199.0,
Devon Toews,286.0,213.0,271.0,,256.6666666666667,213.0,
Carl Soderberg,257.0,,,,257.0,257.0,
Duncan Keith,289.0,210.0,275.0,,258.0,210.0,
Boone Jenner,293.0,224.0,,,258.5,224.0,
Dominik Kahun,308.0,209.0,,,258.5,209.0,
Artturi Lehkonen,259.0,,,,259.0,259.0,
Jared McCann,260.0,,,,260.0,260.0,
Ryan Dzingel,213.0,307.0,,,260.0,213.0,
Alexander Killorn,306.0,215.0,,,260.5,215.0,
Tanner Pearson,329.0,194.0,,,261.5,194.0,
Jesper Bratt,231.0,294.0,,,262.5,231.0,
Carter Hutton,245.0,282.0,,,263.5,245.0,
Alec Martinez,295.0,220.0,276.0,,263.6666666666667,220.0,
Yanni Gourde,272.0,256.0,,,264.0,256.0,
Tyler Johnson,280.0,249.0,,,264.5,249.0,
Conor Garland,265.0,,,,265.0,265.0,
James Reimer,281.0,222.0,295.0,,266.0,222.0,
Justin Schultz,297.0,218.0,286.0,,267.0,218.0,
Martin Necas,292.0,231.0,278.0,,267.0,231.0,
Nick Schmaltz,291.0,247.0,,,269.0,247.0,
Alex Stalock,356.0,185.0,,,270.5,185.0,
Tim Stutzle,283.0,258.0,,,270.5,258.0,
Ondrej Kase,239.0,303.0,,,271.0,239.0,
Anthony Duclair,316.0,232.0,270.0,,272.6666666666667,232.0,
Josh Morrissey,278.0,221.0,322.0,,273.6666666666667,221.0,
Jakob Chychrun,303.0,238.0,283.0,,274.6666666666667,238.0,
Jakob Silfverberg,249.0,302.0,,,275.5,249.0,
Linus Ullmark,290.0,227.0,311.0,,276.0,227.0,
Nick Shore,276.0,,,,276.0,276.0,
Dmytro Timashov,238.0,315.0,,,276.5,238.0,
Ben Chiarot,277.0,,,,277.0,277.0,
Andrew Mangiapane,309.0,245.0,,,277.0,245.0,
Nick Foligno,397.0,160.0,,,278.5,160.0,
Alex Iafallo,304.0,228.0,304.0,,278.6666666666667,228.0,
Erik Cernak,331.0,227.0,,,279.0,227.0,
Gustav Nyquist,229.0,331.0,,,280.0,229.0,
Matt Grzelcyk,307.0,244.0,298.0,,283.0,244.0,
Grigori Denisenko,323.0,245.0,,,284.0,245.0,
Vince Dunn,302.0,235.0,316.0,,284.3333333333333,235.0,
Erik Haula,236.0,333.0,,,284.5,236.0,
Kaapo Kahkonen,324.0,246.0,,,285.0,246.0,
Craig Anderson,285.0,,,,285.0,285.0,
Alexander Nylander,287.0,,,,287.0,287.0,
P.K. Subban,235.0,341.0,,,288.0,235.0,
Nikita Zadorov,289.0,,,,289.0,289.0,
Chris Wagner,290.0,,,,290.0,290.0,
Frank Vatrano,337.0,243.0,,,290.0,243.0,
Barclay Goodrow,291.0,,,,291.0,291.0,
Derick Brassard,292.0,,,,292.0,292.0,
Trevor Zegras,311.0,250.0,318.0,,293.0,250.0,
Malcolm Subban,317.0,273.0,,,295.0,273.0,
Nick Ritchie,261.0,329.0,,,295.0,261.0,
Joe Thornton,247.0,344.0,,,295.5,247.0,
Richard Panik,262.0,330.0,,,296.0,262.0,
Erik Foley,296.0,,,,296.0,296.0,
Miles Wood,296.0,,,,296.0,296.0,
Erik Gustafsson,214.0,268.0,350.0,360.0,298.0,214.0,360.0
Micheal Ferland,279.0,321.0,,,300.0,279.0,
Adam Henrique,345.0,255.0,,,300.0,255.0,
Alex Turcotte,321.0,280.0,,,300.5,280.0,
Dmitry Orlov,301.0,,,,301.0,301.0,
Dustin Byfuglien,146.0,460.0,,,303.0,146.0,
Charlie Coyle,366.0,242.0,,,304.0,242.0,
Manuel Wiederer,259.0,349.0,,,304.0,259.0,
Nick Bjugstad,361.0,248.0,,,304.5,248.0,
Garnet Hathaway,305.0,,,,305.0,305.0,
Pekka Rinne,204.0,407.0,,,305.5,204.0,
Lars Eller,306.0,,,,306.0,306.0,
Alex Chiasson,260.0,353.0,,,306.5,260.0,
Cory Conacher,300.0,313.0,,,306.5,300.0,
David Rittich,205.0,410.0,,,307.5,205.0,
Calvin Petersen,322.0,249.0,352.0,,307.6666666666667,249.0,
Martin Jones,212.0,408.0,,,310.0,212.0,
Jesper Fast,310.0,,,,310.0,310.0,
Valeri Nichushkin,312.0,,,,312.0,312.0,
Calvin de Haan,314.0,,,,314.0,314.0,
Ryan Poehling,271.0,359.0,,,315.0,271.0,
Travis Zajac,267.0,364.0,,,315.5,267.0,
Barrett Hayton,334.0,299.0,,,316.5,299.0,
Jake Virtanen,317.0,,,,317.0,317.0,
Rasmus Sandin,327.0,248.0,376.0,,317.0,248.0,
Gabriel Vilardi,335.0,300.0,,,317.5,300.0,
Matt Roy,319.0,,,,319.0,319.0,
Radko Gudas,314.0,324.0,,,319.0,314.0,
Ville Heinola,319.0,237.0,404.0,,320.0,237.0,
Derek Stepan,305.0,335.0,,,320.0,305.0,
Jimmy Howard,265.0,379.0,,,322.0,265.0,
Shayne Gostisbehere,257.0,387.0,,,322.0,257.0,
Marcus Johansson,320.0,326.0,,,323.0,320.0,
Esa Lindell,363.0,284.0,,,323.5,284.0,
Joel Farabee,318.0,236.0,418.0,,324.0,236.0,
Matt Martin,325.0,,,,325.0,325.0,
Leo Komarov,327.0,,,,327.0,327.0,
Scott Laughton,328.0,,,,328.0,328.0,
Filip Zadina,341.0,320.0,,,330.5,320.0,
Alexandre Texier,328.0,334.0,,,331.0,328.0,
Brandon Carlo,332.0,,,,332.0,332.0,
Mikko Koivu,294.0,371.0,,,332.5,294.0,
Zack Kassian,343.0,323.0,,,333.0,323.0,
Colin Campbell,284.0,382.0,,,333.0,284.0,
Drake Batherson,326.0,343.0,,,334.5,326.0,
Mike Smith,256.0,413.0,,,334.5,256.0,
Mark Borowiecki,337.0,,,,337.0,337.0,
James Neal,377.0,297.0,,,337.0,297.0,
Ilya Mikheyev,390.0,285.0,,,337.5,285.0,
