Rank,Player,Team,Positions
273,Malcolm Subban,CHI,G
274,Nino Niederreiter,CAR,LW RW
275,Duncan Keith,CHI,D
276,Alec Martinez,VGK,D
277,Ben Chiarot,MTL,D
278,Martin Necas,CAR,C
279,Mats Zuccarello,MIN,RW F
280,Alex Turcotte,LA,C
281,Andrew Shaw,CHI,C RW F
282,Carter Hutton,BUF,G
283,Jakob Chychrun,ARI,D
284,Esa Lindell,DAL,D
285,Ilya Mikheyev,TOR,RW
286,Justin Schultz,PIT,D
287,Brandon Pirri,FA,C F
288,Alex Galchenyuk,MIN,C LW
289,Nikita Zadorov,COL,D
290,Chris Wagner,BOS,C F
291,Barclay Goodrow,TB,C RW F
292,Derick Brassard,NYI,C F
293,Vladislav Namestnikov,COL,C F
294,Jesper Bratt,NJ,RW
295,James Reimer,CAR,G
296,Miles Wood,NJ,LW F
297,James Neal,EDM,RW F
298,Matt Grzelcyk,BOS,D
299,Barrett Hayton,ARI,C
300,Gabriel Vilardi,LA,C
301,Dmitry Orlov,WSH,D
302,Jakob Silfverberg,ANA,RW F
303,Ondrej Kase,BOS,RW
304,Alex Iafallo,LA,C
305,Garnet Hathaway,WSH,RW F
306,Lars Eller,WSH,C F
307,Ryan Dzingel,CAR,LW RW
308,Connor Brown,OTT,RW F
309,Andreas Athanasiou,EDM,C LW
310,Jesper Fast,NYR,RW F
311,Linus Ullmark,BUF,G
312,Valeri Nichushkin,COL,RW F
313,Cory Conacher,FA,LW F
314,Calvin de Haan,CHI,D
315,Dmytro Timashov,DET,RW
316,Vince Dunn,STL,D
317,Jake Virtanen,VAN,RW F
318,Trevor Zegras,ANA,C
319,Matt Roy,LA,D
320,Filip Zadina,DET,LW
321,Micheal Ferland,VAN,LW  RW
322,Josh Morrissey,WPG,D
323,Zack Kassian,EDM,RW F
324,Radko Gudas,WSH,D
325,Matt Martin,NYI,LW
326,Marcus Johansson,BUF,LW RW F
327,Leo Komarov,NYI,C RW F
328,Scott Laughton,PHI,C F
329,Nick Ritchie,BOS,LW F
330,Richard Panik,WSH,LW F
331,Gustav Nyquist,CBJ,LW RW F
332,Brandon Carlo,BOS,D
333,Erik Haula,FLA,C LW F
334,Alexandre Texier,CBJ,C LW
335,Derek Stepan,ARI,C F
336,Alex Goligoski,ARI,D
337,Mark Borowiecki,OTT,D
338,Tyler Myers,VAN,D
339,Owen Tippett,FLA,RW
340,Christian Dvorak,ARI,C LW F
341,P.K. Subban,NJ,D
342,Adrian Kempe,LA,LW
343,Drake Batherson,FA,C
344,Joe Thornton,SJ,C F
345,Brenden Dillon,WSH,D
346,Noel Acciari,FLA,C F
347,T.J. Brodie,CGY,D
348,Cal Clutterbuck,NYI,RW F
349,Manuel Wiederer,FA,C
350,Erik Gustafsson,FA,D
351,Sam Steel,ANA,C F
352,Calvin Petersen,LA,G
353,Alex Chiasson,EDM,RW F
354,Adam Lowry,WPG,LW
355,Luke Kunin,MIN,C
356,Joel Eriksson Ek,MIN,C
357,Josh Norris,FA,C
358,Brayden McNabb,VGK,D
359,Ryan Poehling,MTL,LW
360,Erik Gustafsson,CGY,D
361,Brett Connolly,FLA,RW F
362,Ryan Donato,MIN,LW
363,John Marino,PIT,NA
364,Travis Zajac,NJ,C F
365,Calle Jarnkrok,NSH,C F
366,Wayne Simmonds,BUF,RW F
367,Justin Faulk,STL,D
368,Brendan Lemieux,NYR,LW F
369,Colin White,OTT,C
370,Jeff Carter,LA,C F
371,Mikko Koivu,MIN,C F
372,Austin Wagner,LA,LW
373,Jesperi Kotkaniemi,MTL,C
374,Jack Roslovic,WPG,C F
375,Patrick Maroon,TB,LW F
376,Rasmus Sandin,TOR,D
377,Antti Raanta,ARI,G
378,Connor Murphy,CHI,D
379,Jimmy Howard,DET,G
380,David Savard,CBJ,D
381,Brady Skjei,CAR,D
382,Colin Campbell,FA,RW
383,Marcus Pettersson,PIT,D
384,Zach Sanford,STL,C
385,Jordan Weal,MTL,C F
386,Nick Cousins,VGK,C
387,Shayne Gostisbehere,PHI,D
388,Alexander True,SJ,C
389,Mike Green,EDM,D
390,Brandon Montour,BUF,D
391,Vitali Kravtsov,NYR,RW
392,Tyler Pitlick,PHI,RW F
393,Brian Dumoulin,PIT,D
394,Liam Foudy,CBJ,C
395,Tyler Ennis,EDM,C LW F
396,Martin Kaut,FA,RW
397,Evan Bouchard,EDM,D
398,Andrew Copp,WPG,C F
399,Connor McMichael,WSH,C
400,Adam Pelech,NYI,D
401,Ty Smith,FA,D
402,Alexander Volkov,TB,LW
403,Cam Fowler,ANA,D
404,Ville Heinola,FA,D
405,Sam Bennett,CGY,C F
406,Bowen Byram,COL,D
407,Pekka Rinne,NSH,G
408,Martin Jones,SJ,G
409,Jake Bean,CAR,D
410,David Rittich,CGY,G
411,Alexander Romanov,MTL,D
412,Morgan Frost,PHI,C
413,Mike Smith,EDM,G
414,Kirby Dach,CHI,C
415,Thomas Greiss,NYI,G
416,Dylan Cozens,FA,C
417,Curtis McElhinney,TB,G
418,Joel Farabee,PHI,LW
419,Pheonix Copley,WSH,G
420,Erik Brannstrom,FA,D
421,Oliver Wahlstrom,FA,C
422,Brian Elliott,PHI,G
423,Adam Gaudette,VAN,LW
424,Jack Campbell,TOR,G
425,Tyler Benson,EDM,LW
426,Laurent Brossoit,WPG,G
